"name","age","fare","sex","survived","embarked","passenger.class"
"Allen, Miss. Elisabeth Walton",29,211.3375,"female","yes","Southhampton",1
"Allison, Master. Hudson Trevor",0.9167,151.55,"male","yes","Southhampton",1
"Allison, Miss. Helen Loraine",2,151.55,"female","no","Southhampton",1
"Allison, Mr. Hudson Joshua Creighton",30,151.55,"male","no","Southhampton",1
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25,151.55,"female","no","Southhampton",1
"Anderson, Mr. Harry",48,26.55,"male","yes","Southhampton",1
"Andrews, Miss. Kornelia Theodosia",63,77.9583,"female","yes","Southhampton",1
"Andrews, Mr. Thomas Jr",39,0,"male","no","Southhampton",1
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53,51.4792,"female","yes","Southhampton",1
"Artagaveytia, Mr. Ramon",71,49.5042,"male","no","Cherbourg",1
"Astor, Col. John Jacob",47,227.525,"male","no","Cherbourg",1
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18,227.525,"female","yes","Cherbourg",1
"Aubart, Mme. Leontine Pauline",24,69.3,"female","yes","Cherbourg",1
"Barber, Miss. Ellen ""Nellie""",26,78.85,"female","yes","Southhampton",1
"Barkworth, Mr. Algernon Henry Wilson",80,30,"male","yes","Southhampton",1
"Baumann, Mr. John D",NA,25.925,"male","no","Southhampton",1
"Baxter, Mr. Quigg Edmond",24,247.5208,"male","no","Cherbourg",1
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50,247.5208,"female","yes","Cherbourg",1
"Bazzani, Miss. Albina",32,76.2917,"female","yes","Cherbourg",1
"Beattie, Mr. Thomson",36,75.2417,"male","no","Cherbourg",1
"Beckwith, Mr. Richard Leonard",37,52.5542,"male","yes","Southhampton",1
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47,52.5542,"female","yes","Southhampton",1
"Behr, Mr. Karl Howell",26,30,"male","yes","Cherbourg",1
"Bidois, Miss. Rosalie",42,227.525,"female","yes","Cherbourg",1
"Bird, Miss. Ellen",29,221.7792,"female","yes","Southhampton",1
"Birnbaum, Mr. Jakob",25,26,"male","no","Cherbourg",1
"Bishop, Mr. Dickinson H",25,91.0792,"male","yes","Cherbourg",1
"Bishop, Mrs. Dickinson H (Helen Walton)",19,91.0792,"female","yes","Cherbourg",1
"Bissette, Miss. Amelia",35,135.6333,"female","yes","Southhampton",1
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28,26.55,"male","yes","Southhampton",1
"Blackwell, Mr. Stephen Weart",45,35.5,"male","no","Southhampton",1
"Blank, Mr. Henry",40,31,"male","yes","Cherbourg",1
"Bonnell, Miss. Caroline",30,164.8667,"female","yes","Southhampton",1
"Bonnell, Miss. Elizabeth",58,26.55,"female","yes","Southhampton",1
"Borebank, Mr. John James",42,26.55,"male","no","Southhampton",1
"Bowen, Miss. Grace Scott",45,262.375,"female","yes","Cherbourg",1
"Bowerman, Miss. Elsie Edith",22,55,"female","yes","Southhampton",1
"Bradley, Mr. George (""George Arthur Brayton"")",NA,26.55,"male","yes","Southhampton",1
"Brady, Mr. John Bertram",41,30.5,"male","no","Southhampton",1
"Brandeis, Mr. Emil",48,50.4958,"male","no","Cherbourg",1
"Brewe, Dr. Arthur Jackson",NA,39.6,"male","no","Cherbourg",1
"Brown, Mrs. James Joseph (Margaret Tobin)",44,27.7208,"female","yes","Cherbourg",1
"Brown, Mrs. John Murray (Caroline Lane Lamson)",59,51.4792,"female","yes","Southhampton",1
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",60,76.2917,"female","yes","Cherbourg",1
"Burns, Miss. Elizabeth Margaret",41,134.5,"female","yes","Cherbourg",1
"Butt, Major. Archibald Willingham",45,26.55,"male","no","Southhampton",1
"Cairns, Mr. Alexander",NA,31,"male","no","Southhampton",1
"Calderhead, Mr. Edward Pennington",42,26.2875,"male","yes","Southhampton",1
"Candee, Mrs. Edward (Helen Churchill Hungerford)",53,27.4458,"female","yes","Cherbourg",1
"Cardeza, Mr. Thomas Drake Martinez",36,512.3292,"male","yes","Cherbourg",1
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",58,512.3292,"female","yes","Cherbourg",1
"Carlsson, Mr. Frans Olof",33,5,"male","no","Southhampton",1
"Carrau, Mr. Francisco M",28,47.1,"male","no","Southhampton",1
"Carrau, Mr. Jose Pedro",17,47.1,"male","no","Southhampton",1
"Carter, Master. William Thornton II",11,120,"male","yes","Southhampton",1
"Carter, Miss. Lucile Polk",14,120,"female","yes","Southhampton",1
"Carter, Mr. William Ernest",36,120,"male","yes","Southhampton",1
"Carter, Mrs. William Ernest (Lucile Polk)",36,120,"female","yes","Southhampton",1
"Case, Mr. Howard Brown",49,26,"male","no","Southhampton",1
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",NA,27.7208,"female","yes","Cherbourg",1
"Cavendish, Mr. Tyrell William",36,78.85,"male","no","Southhampton",1
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",76,78.85,"female","yes","Southhampton",1
"Chaffee, Mr. Herbert Fuller",46,61.175,"male","no","Southhampton",1
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",47,61.175,"female","yes","Southhampton",1
"Chambers, Mr. Norman Campbell",27,53.1,"male","yes","Southhampton",1
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33,53.1,"female","yes","Southhampton",1
"Chaudanson, Miss. Victorine",36,262.375,"female","yes","Cherbourg",1
"Cherry, Miss. Gladys",30,86.5,"female","yes","Southhampton",1
"Chevre, Mr. Paul Romaine",45,29.7,"male","yes","Cherbourg",1
"Chibnall, Mrs. (Edith Martha Bowerman)",NA,55,"female","yes","Southhampton",1
"Chisholm, Mr. Roderick Robert Crispin",NA,0,"male","no","Southhampton",1
"Clark, Mr. Walter Miller",27,136.7792,"male","no","Cherbourg",1
"Clark, Mrs. Walter Miller (Virginia McDowell)",26,136.7792,"female","yes","Cherbourg",1
"Cleaver, Miss. Alice",22,151.55,"female","yes","Southhampton",1
"Clifford, Mr. George Quincy",NA,52,"male","no","Southhampton",1
"Colley, Mr. Edward Pomeroy",47,25.5875,"male","no","Southhampton",1
"Compton, Miss. Sara Rebecca",39,83.1583,"female","yes","Cherbourg",1
"Compton, Mr. Alexander Taylor Jr",37,83.1583,"male","no","Cherbourg",1
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",64,83.1583,"female","yes","Cherbourg",1
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",55,25.7,"female","yes","Southhampton",1
"Crafton, Mr. John Bertram",NA,26.55,"male","no","Southhampton",1
"Crosby, Capt. Edward Gifford",70,71,"male","no","Southhampton",1
"Crosby, Miss. Harriet R",36,71,"female","yes","Southhampton",1
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",64,26.55,"female","yes","Southhampton",1
"Cumings, Mr. John Bradley",39,71.2833,"male","no","Cherbourg",1
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38,71.2833,"female","yes","Cherbourg",1
"Daly, Mr. Peter Denis ",51,26.55,"male","yes","Southhampton",1
"Daniel, Mr. Robert Williams",27,30.5,"male","yes","Southhampton",1
"Daniels, Miss. Sarah",33,151.55,"female","yes","Southhampton",1
"Davidson, Mr. Thornton",31,52,"male","no","Southhampton",1
"Davidson, Mrs. Thornton (Orian Hays)",27,52,"female","yes","Southhampton",1
"Dick, Mr. Albert Adrian",31,57,"male","yes","Southhampton",1
"Dick, Mrs. Albert Adrian (Vera Gillespie)",17,57,"female","yes","Southhampton",1
"Dodge, Dr. Washington",53,81.8583,"male","yes","Southhampton",1
"Dodge, Master. Washington",4,81.8583,"male","yes","Southhampton",1
"Dodge, Mrs. Washington (Ruth Vidaver)",54,81.8583,"female","yes","Southhampton",1
"Douglas, Mr. Walter Donald",50,106.425,"male","no","Cherbourg",1
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",27,247.5208,"female","yes","Cherbourg",1
"Douglas, Mrs. Walter Donald (Mahala Dutton)",48,106.425,"female","yes","Cherbourg",1
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48,39.6,"female","yes","Cherbourg",1
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",49,56.9292,"male","yes","Cherbourg",1
"Dulles, Mr. William Crothers",39,29.7,"male","no","Cherbourg",1
"Earnshaw, Mrs. Boulton (Olive Potter)",23,83.1583,"female","yes","Cherbourg",1
"Endres, Miss. Caroline Louise",38,227.525,"female","yes","Cherbourg",1
"Eustis, Miss. Elizabeth Mussey",54,78.2667,"female","yes","Cherbourg",1
"Evans, Miss. Edith Corse",36,31.6792,"female","no","Cherbourg",1
"Farthing, Mr. John",NA,221.7792,"male","no","Southhampton",1
"Flegenheim, Mrs. Alfred (Antoinette)",NA,31.6833,"female","yes","Southhampton",1
"Fleming, Miss. Margaret",NA,110.8833,"female","yes","Cherbourg",1
"Flynn, Mr. John Irwin (""Irving"")",36,26.3875,"male","yes","Southhampton",1
"Foreman, Mr. Benjamin Laventall",30,27.75,"male","no","Cherbourg",1
"Fortune, Miss. Alice Elizabeth",24,263,"female","yes","Southhampton",1
"Fortune, Miss. Ethel Flora",28,263,"female","yes","Southhampton",1
"Fortune, Miss. Mabel Helen",23,263,"female","yes","Southhampton",1
"Fortune, Mr. Charles Alexander",19,263,"male","no","Southhampton",1
"Fortune, Mr. Mark",64,263,"male","no","Southhampton",1
"Fortune, Mrs. Mark (Mary McDougald)",60,263,"female","yes","Southhampton",1
"Francatelli, Miss. Laura Mabel",30,56.9292,"female","yes","Cherbourg",1
"Franklin, Mr. Thomas Parham",NA,26.55,"male","no","Southhampton",1
"Frauenthal, Dr. Henry William",50,133.65,"male","yes","Southhampton",1
"Frauenthal, Mr. Isaac Gerald",43,27.7208,"male","yes","Cherbourg",1
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",NA,133.65,"female","yes","Southhampton",1
"Frolicher, Miss. Hedwig Margaritha",22,49.5,"female","yes","Cherbourg",1
"Frolicher-Stehli, Mr. Maxmillian",60,79.2,"male","yes","Cherbourg",1
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",48,79.2,"female","yes","Cherbourg",1
"Fry, Mr. Richard",NA,0,"male","no","Southhampton",1
"Futrelle, Mr. Jacques Heath",37,53.1,"male","no","Southhampton",1
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35,53.1,"female","yes","Southhampton",1
"Gee, Mr. Arthur H",47,38.5,"male","no","Southhampton",1
"Geiger, Miss. Amalie",35,211.5,"female","yes","Cherbourg",1
"Gibson, Miss. Dorothy Winifred",22,59.4,"female","yes","Cherbourg",1
"Gibson, Mrs. Leonard (Pauline C Boeson)",45,59.4,"female","yes","Cherbourg",1
"Giglio, Mr. Victor",24,79.2,"male","no","Cherbourg",1
"Goldenberg, Mr. Samuel L",49,89.1042,"male","yes","Cherbourg",1
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",NA,89.1042,"female","yes","Cherbourg",1
"Goldschmidt, Mr. George B",71,34.6542,"male","no","Cherbourg",1
"Gracie, Col. Archibald IV",53,28.5,"male","yes","Cherbourg",1
"Graham, Miss. Margaret Edith",19,30,"female","yes","Southhampton",1
"Graham, Mr. George Edward",38,153.4625,"male","no","Southhampton",1
"Graham, Mrs. William Thompson (Edith Junkins)",58,153.4625,"female","yes","Southhampton",1
"Greenfield, Mr. William Bertram",23,63.3583,"male","yes","Cherbourg",1
"Greenfield, Mrs. Leo David (Blanche Strouse)",45,63.3583,"female","yes","Cherbourg",1
"Guggenheim, Mr. Benjamin",46,79.2,"male","no","Cherbourg",1
"Harder, Mr. George Achilles",25,55.4417,"male","yes","Cherbourg",1
"Harder, Mrs. George Achilles (Dorothy Annan)",25,55.4417,"female","yes","Cherbourg",1
"Harper, Mr. Henry Sleeper",48,76.7292,"male","yes","Cherbourg",1
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49,76.7292,"female","yes","Cherbourg",1
"Harrington, Mr. Charles H",NA,42.4,"male","no","Southhampton",1
"Harris, Mr. Henry Birkhardt",45,83.475,"male","no","Southhampton",1
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35,83.475,"female","yes","Southhampton",1
"Harrison, Mr. William",40,0,"male","no","Southhampton",1
"Hassab, Mr. Hammad",27,76.7292,"male","yes","Cherbourg",1
"Hawksford, Mr. Walter James",NA,30,"male","yes","Southhampton",1
"Hays, Miss. Margaret Bechstein",24,83.1583,"female","yes","Cherbourg",1
"Hays, Mr. Charles Melville",55,93.5,"male","no","Southhampton",1
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",52,93.5,"female","yes","Southhampton",1
"Head, Mr. Christopher",42,42.5,"male","no","Southhampton",1
"Hilliard, Mr. Herbert Henry",NA,51.8625,"male","no","Southhampton",1
"Hipkins, Mr. William Edward",55,50,"male","no","Southhampton",1
"Hippach, Miss. Jean Gertrude",16,57.9792,"female","yes","Cherbourg",1
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",44,57.9792,"female","yes","Cherbourg",1
"Hogeboom, Mrs. John C (Anna Andrews)",51,77.9583,"female","yes","Southhampton",1
"Holverson, Mr. Alexander Oskar",42,52,"male","no","Southhampton",1
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35,52,"female","yes","Southhampton",1
"Homer, Mr. Harry (""Mr E Haven"")",35,26.55,"male","yes","Cherbourg",1
"Hoyt, Mr. Frederick Maxfield",38,90,"male","yes","Southhampton",1
"Hoyt, Mr. William Fisher",NA,30.6958,"male","no","Cherbourg",1
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",35,90,"female","yes","Southhampton",1
"Icard, Miss. Amelie",38,80,"female","yes","",1
"Isham, Miss. Ann Elizabeth",50,28.7125,"female","no","Cherbourg",1
"Ismay, Mr. Joseph Bruce",49,0,"male","yes","Southhampton",1
"Jones, Mr. Charles Cresson",46,26,"male","no","Southhampton",1
"Julian, Mr. Henry Forbes",50,26,"male","no","Southhampton",1
"Keeping, Mr. Edwin",32.5,211.5,"male","no","Cherbourg",1
"Kent, Mr. Edward Austin",58,29.7,"male","no","Cherbourg",1
"Kenyon, Mr. Frederick R",41,51.8625,"male","no","Southhampton",1
"Kenyon, Mrs. Frederick R (Marion)",NA,51.8625,"female","yes","Southhampton",1
"Kimball, Mr. Edwin Nelson Jr",42,52.5542,"male","yes","Southhampton",1
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",45,52.5542,"female","yes","Southhampton",1
"Klaber, Mr. Herman",NA,26.55,"male","no","Southhampton",1
"Kreuchen, Miss. Emilie",39,211.3375,"female","yes","Southhampton",1
"Leader, Dr. Alice (Farnham)",49,25.9292,"female","yes","Southhampton",1
"LeRoy, Miss. Bertha",30,106.425,"female","yes","Cherbourg",1
"Lesurer, Mr. Gustave J",35,512.3292,"male","yes","Cherbourg",1
"Lewy, Mr. Ervin G",NA,27.7208,"male","no","Cherbourg",1
"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",42,26.55,"male","no","Southhampton",1
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",55,27.7208,"female","yes","Cherbourg",1
"Lines, Miss. Mary Conover",16,39.4,"female","yes","Southhampton",1
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",51,39.4,"female","yes","Southhampton",1
"Long, Mr. Milton Clyde",29,30,"male","no","Southhampton",1
"Longley, Miss. Gretchen Fiske",21,77.9583,"female","yes","Southhampton",1
"Loring, Mr. Joseph Holland",30,45.5,"male","no","Southhampton",1
"Lurette, Miss. Elise",58,146.5208,"female","yes","Cherbourg",1
"Madill, Miss. Georgette Alexandra",15,211.3375,"female","yes","Southhampton",1
"Maguire, Mr. John Edward",30,26,"male","no","Southhampton",1
"Maioni, Miss. Roberta",16,86.5,"female","yes","Southhampton",1
"Marechal, Mr. Pierre",NA,29.7,"male","yes","Cherbourg",1
"Marvin, Mr. Daniel Warner",19,53.1,"male","no","Southhampton",1
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",18,53.1,"female","yes","Southhampton",1
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",24,49.5042,"female","yes","Cherbourg",1
"McCaffry, Mr. Thomas Francis",46,75.2417,"male","no","Cherbourg",1
"McCarthy, Mr. Timothy J",54,51.8625,"male","no","Southhampton",1
"McGough, Mr. James Robert",36,26.2875,"male","yes","Southhampton",1
"Meyer, Mr. Edgar Joseph",28,82.1708,"male","no","Cherbourg",1
"Meyer, Mrs. Edgar Joseph (Leila Saks)",NA,82.1708,"female","yes","Cherbourg",1
"Millet, Mr. Francis Davis",65,26.55,"male","no","Southhampton",1
"Minahan, Dr. William Edward",44,90,"male","no","Queenstown",1
"Minahan, Miss. Daisy E",33,90,"female","yes","Queenstown",1
"Minahan, Mrs. William Edward (Lillian E Thorpe)",37,90,"female","yes","Queenstown",1
"Mock, Mr. Philipp Edmund",30,57.75,"male","yes","Cherbourg",1
"Molson, Mr. Harry Markland",55,30.5,"male","no","Southhampton",1
"Moore, Mr. Clarence Bloomfield",47,42.4,"male","no","Southhampton",1
"Natsch, Mr. Charles H",37,29.7,"male","no","Cherbourg",1
"Newell, Miss. Madeleine",31,113.275,"female","yes","Cherbourg",1
"Newell, Miss. Marjorie",23,113.275,"female","yes","Cherbourg",1
"Newell, Mr. Arthur Webster",58,113.275,"male","no","Cherbourg",1
"Newsom, Miss. Helen Monypeny",19,26.2833,"female","yes","Southhampton",1
"Nicholson, Mr. Arthur Ernest",64,26,"male","no","Southhampton",1
"Oliva y Ocana, Dona. Fermina",39,108.9,"female","yes","Cherbourg",1
"Omont, Mr. Alfred Fernand",NA,25.7417,"male","yes","Cherbourg",1
"Ostby, Miss. Helene Ragnhild",22,61.9792,"female","yes","Cherbourg",1
"Ostby, Mr. Engelhart Cornelius",65,61.9792,"male","no","Cherbourg",1
"Ovies y Rodriguez, Mr. Servando",28.5,27.7208,"male","no","Cherbourg",1
"Parr, Mr. William Henry Marsh",NA,0,"male","no","Southhampton",1
"Partner, Mr. Austen",45.5,28.5,"male","no","Southhampton",1
"Payne, Mr. Vivian Ponsonby",23,93.5,"male","no","Southhampton",1
"Pears, Mr. Thomas Clinton",29,66.6,"male","no","Southhampton",1
"Pears, Mrs. Thomas (Edith Wearne)",22,66.6,"female","yes","Southhampton",1
"Penasco y Castellana, Mr. Victor de Satode",18,108.9,"male","no","Cherbourg",1
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17,108.9,"female","yes","Cherbourg",1
"Perreault, Miss. Anne",30,93.5,"female","yes","Southhampton",1
"Peuchen, Major. Arthur Godfrey",52,30.5,"male","yes","Southhampton",1
"Porter, Mr. Walter Chamberlain",47,52,"male","no","Southhampton",1
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",56,83.1583,"female","yes","Cherbourg",1
"Reuchlin, Jonkheer. John George",38,0,"male","no","Southhampton",1
"Rheims, Mr. George Alexander Lucien",NA,39.6,"male","yes","Southhampton",1
"Ringhini, Mr. Sante",22,135.6333,"male","no","Cherbourg",1
"Robbins, Mr. Victor",NA,227.525,"male","no","Cherbourg",1
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",43,211.3375,"female","yes","Southhampton",1
"Roebling, Mr. Washington Augustus II",31,50.4958,"male","no","Southhampton",1
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45,26.55,"male","yes","Southhampton",1
"Rood, Mr. Hugh Roscoe",NA,50,"male","no","Southhampton",1
"Rosenbaum, Miss. Edith Louise",33,27.7208,"female","yes","Cherbourg",1
"Rosenshine, Mr. George (""Mr George Thorne"")",46,79.2,"male","no","Cherbourg",1
"Ross, Mr. John Hugo",36,40.125,"male","no","Cherbourg",1
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",33,86.5,"female","yes","Southhampton",1
"Rothschild, Mr. Martin",55,59.4,"male","no","Cherbourg",1
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",54,59.4,"female","yes","Cherbourg",1
"Rowe, Mr. Alfred G",33,26.55,"male","no","Southhampton",1
"Ryerson, Master. John Borie",13,262.375,"male","yes","Cherbourg",1
"Ryerson, Miss. Emily Borie",18,262.375,"female","yes","Cherbourg",1
"Ryerson, Miss. Susan Parker ""Suzette""",21,262.375,"female","yes","Cherbourg",1
"Ryerson, Mr. Arthur Larned",61,262.375,"male","no","Cherbourg",1
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",48,262.375,"female","yes","Cherbourg",1
"Saalfeld, Mr. Adolphe",NA,30.5,"male","yes","Southhampton",1
"Sagesser, Mlle. Emma",24,69.3,"female","yes","Cherbourg",1
"Salomon, Mr. Abraham L",NA,26,"male","yes","Southhampton",1
"Schabert, Mrs. Paul (Emma Mock)",35,57.75,"female","yes","Cherbourg",1
"Serepeca, Miss. Augusta",30,31,"female","yes","Cherbourg",1
"Seward, Mr. Frederic Kimber",34,26.55,"male","yes","Southhampton",1
"Shutes, Miss. Elizabeth W",40,153.4625,"female","yes","Southhampton",1
"Silverthorne, Mr. Spencer Victor",35,26.2875,"male","yes","Southhampton",1
"Silvey, Mr. William Baird",50,55.9,"male","no","Southhampton",1
"Silvey, Mrs. William Baird (Alice Munger)",39,55.9,"female","yes","Southhampton",1
"Simonius-Blumer, Col. Oberst Alfons",56,35.5,"male","yes","Cherbourg",1
"Sloper, Mr. William Thompson",28,35.5,"male","yes","Southhampton",1
"Smart, Mr. John Montgomery",56,26.55,"male","no","Southhampton",1
"Smith, Mr. James Clinch",56,30.6958,"male","no","Cherbourg",1
"Smith, Mr. Lucien Philip",24,60,"male","no","Southhampton",1
"Smith, Mr. Richard William",NA,26,"male","no","Southhampton",1
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",18,60,"female","yes","Southhampton",1
"Snyder, Mr. John Pillsbury",24,82.2667,"male","yes","Southhampton",1
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",23,82.2667,"female","yes","Southhampton",1
"Spedden, Master. Robert Douglas",6,134.5,"male","yes","Cherbourg",1
"Spedden, Mr. Frederic Oakley",45,134.5,"male","yes","Cherbourg",1
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40,134.5,"female","yes","Cherbourg",1
"Spencer, Mr. William Augustus",57,146.5208,"male","no","Cherbourg",1
"Spencer, Mrs. William Augustus (Marie Eugenie)",NA,146.5208,"female","yes","Cherbourg",1
"Stahelin-Maeglin, Dr. Max",32,30.5,"male","yes","Cherbourg",1
"Stead, Mr. William Thomas",62,26.55,"male","no","Southhampton",1
"Stengel, Mr. Charles Emil Henry",54,55.4417,"male","yes","Cherbourg",1
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",43,55.4417,"female","yes","Cherbourg",1
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",52,78.2667,"female","yes","Cherbourg",1
"Stewart, Mr. Albert A",NA,27.7208,"male","no","Cherbourg",1
"Stone, Mrs. George Nelson (Martha Evelyn)",62,80,"female","yes","",1
"Straus, Mr. Isidor",67,221.7792,"male","no","Southhampton",1
"Straus, Mrs. Isidor (Rosalie Ida Blun)",63,221.7792,"female","no","Southhampton",1
"Sutton, Mr. Frederick",61,32.3208,"male","no","Southhampton",1
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",48,25.9292,"female","yes","Southhampton",1
"Taussig, Miss. Ruth",18,79.65,"female","yes","Southhampton",1
"Taussig, Mr. Emil",52,79.65,"male","no","Southhampton",1
"Taussig, Mrs. Emil (Tillie Mandelbaum)",39,79.65,"female","yes","Southhampton",1
"Taylor, Mr. Elmer Zebley",48,52,"male","yes","Southhampton",1
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",NA,52,"female","yes","Southhampton",1
"Thayer, Mr. John Borland",49,110.8833,"male","no","Cherbourg",1
"Thayer, Mr. John Borland Jr",17,110.8833,"male","yes","Cherbourg",1
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",39,110.8833,"female","yes","Cherbourg",1
"Thorne, Mrs. Gertrude Maybelle",NA,79.2,"female","yes","Cherbourg",1
"Tucker, Mr. Gilbert Milligan Jr",31,28.5375,"male","yes","Cherbourg",1
"Uruchurtu, Don. Manuel E",40,27.7208,"male","no","Cherbourg",1
"Van der hoef, Mr. Wyckoff",61,33.5,"male","no","Southhampton",1
"Walker, Mr. William Anderson",47,34.0208,"male","no","Southhampton",1
"Ward, Miss. Anna",35,512.3292,"female","yes","Cherbourg",1
"Warren, Mr. Frank Manley",64,75.25,"male","no","Cherbourg",1
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60,75.25,"female","yes","Cherbourg",1
"Weir, Col. John",60,26.55,"male","no","Southhampton",1
"White, Mr. Percival Wayland",54,77.2875,"male","no","Southhampton",1
"White, Mr. Richard Frasar",21,77.2875,"male","no","Southhampton",1
